id,name,region,continent
AUS,Australia,Oceania,Oceania
AUT,Austria,Western Europe,Europe
BEL,Belgium,Western Europe,Europe
CAN,Canada,NAFTA,North America
CHL,Chile,Central & South America,Central & South America
CZE,Czech Republic,Eastern Europe,Europe
DNK,Denmark,Western Europe,Europe
EST,Estonia,Eastern Europe,Europe
FIN,Finland,Eastern Europe,Europe
FRA,France,Western Europe,Europe
DEU,Germany,Western Europe,Europe
GRC,Greece,Eastern Europe,Europe
HUN,Hungary,Eastern Europe,Europe
ISL,Iceland,Western Europe,Europe
IRL,Ireland,Western Europe,Europe
ISR,Israel,Middle East,Asia
ITA,Italy,Western Europe,Europe
JPN,Japan,East Asia,Asia
KOR,Korea,East Asia,Asia
LVA,Latvia,Eastern Europe,Europe
LTU,Lithuania,Eastern Europe,Europe
LUX,Luxembourg,Western Europe,Europe
MEX,Mexico,NAFTA,North America
NLD,Netherlands,Western Europe,Europe
NZL,New Zealand,Oceania,Oceania
NOR,Norway,Western Europe,Europe
POL,Poland,Eastern Europe,Europe
PRT,Portugal,Western Europe,Europe
SVK,Slovak Republic,Eastern Europe,Europe
SVN,Slovenia,Eastern Europe,Europe
ESP,Spain,Western Europe,Europe
SWE,Sweden,Western Europe,Europe
CHE,Switzerland,Western Europe,Europe
TUR,Turkey,Middle East,Asia
GBR,United Kingdom,Western Europe,Europe
USA,United States,NAFTA,North America
MX1,Mexico - Activities excluding Global Manufacturing,NAFTA,North America
MX2,Mexico - Global Manufacturing activities,NAFTA,North America
ARG,Argentina,Central & South America,Central & South America
BRA,Brazil,Central & South America,Central & South America
BRN,Brunei Darussalam,South & Southeast Asia,Asia
BGR,Bulgaria,Eastern Europe,Europe
KHM,Cambodia,South & Southeast Asia,Asia
CHN,China (People's Republic of),East Asia,Asia
COL,Colombia,Central & South America,Central & South America
CRI,Costa Rica,Central & South America,Central & South America
HRV,Croatia,Eastern Europe,Europe
CYP,Cyprus,Eastern Europe,Europe
IND,India,South & Southeast Asia,Asia
IDN,Indonesia,South & Southeast Asia,Asia
HKG,"Hong Kong, China",East Asia,Asia
KAZ,Kazakhstan,Central & North Asia,Asia
MYS,Malaysia,South & Southeast Asia,Asia
MLT,Malta,Eastern Europe,Europe
MAR,Morocco,Africa,Africa
PER,Peru,Central & South America,Central & South America
PHL,Philippines,South & Southeast Asia,Asia
ROU,Romania,Eastern Europe,Europe
RUS,Russian Federation,Central & North Asia,Asia
SAU,Saudi Arabia,Middle East,Asia
SGP,Singapore,South & Southeast Asia,Asia
ZAF,South Africa,Africa,Africa
TWN,Chinese Taipei,East Asia,Asia
THA,Thailand,South & Southeast Asia,Asia
TUN,Tunisia,Africa,Africa
VNM,Viet Nam,South & Southeast Asia,Asia
ROW,Rest of the World,Rest of World,Rest of World
CN1,China - Activities excluding export processing ,East Asia,Asia
CN2,China - Export processing activities,East Asia,Asia
